url_len,host_len,special_char,is_https,url_digit,host_digit
556,25,2,1,0.35611510791366907,7.92
82,14,1,0,0.10975609756097561,0.6428571428571429
55,13,1,0,0.0,0.0
79,15,2,0,0.0,0.0
43,35,4,0,0.0,0.0
68,20,2,0,0.14705882352941177,0.5
100,25,1,0,0.01,0.04
96,20,3,0,0.46875,2.25
54,26,4,0,0.037037037037037035,0.07692307692307693
46,16,2,0,0.0,0.0
71,21,2,1,0.0,0.0
56,15,1,0,0.0,0.0
27,19,2,0,0.14814814814814814,0.21052631578947367
115,42,4,0,0.20869565217391303,0.5714285714285714
52,44,4,0,0.057692307692307696,0.06818181818181818
139,27,3,1,0.03597122302158273,0.18518518518518517
19,11,3,0,0.42105263157894735,0.7272727272727273
40,26,4,1,0.05,0.07692307692307693
95,13,2,0,0.12631578947368421,0.9230769230769231
149,10,1,1,0.28187919463087246,4.2
81,12,1,1,0.0,0.0
68,18,3,1,0.0,0.0
204,27,2,1,0.13725490196078433,1.037037037037037
154,40,3,1,0.05194805194805195,0.2
21,9,2,1,0.0,0.0
42,12,2,0,0.0,0.0
70,12,1,0,0.11428571428571428,0.6666666666666666
53,20,3,0,0.05660377358490566,0.15
172,39,3,1,0.10465116279069768,0.46153846153846156
90,17,3,0,0.14444444444444443,0.7647058823529411
66,20,2,0,0.07575757575757576,0.25
102,7,1,0,0.16666666666666666,2.4285714285714284
57,35,2,0,0.0,0.0
40,21,2,1,0.0,0.0
256,15,1,1,0.65234375,11.133333333333333
199,10,2,0,0.10050251256281408,2.0
76,50,5,0,0.14473684210526316,0.22
61,16,2,0,0.08196721311475409,0.3125
92,58,8,0,0.07608695652173914,0.1206896551724138
63,14,2,1,0.031746031746031744,0.14285714285714285
29,19,1,0,0.3448275862068966,0.5263157894736842
34,27,2,0,0.029411764705882353,0.037037037037037035
45,24,2,0,0.0,0.0
83,16,2,1,0.024096385542168676,0.125
31,16,2,1,0.0,0.0
118,42,4,0,0.22033898305084745,0.6190476190476191
79,11,1,0,0.012658227848101266,0.09090909090909091
47,27,2,0,0.0,0.0
109,20,2,0,0.1926605504587156,1.05
47,31,4,0,0.2127659574468085,0.3225806451612903
36,28,1,0,0.0,0.0
36,14,2,1,0.0,0.0
26,11,1,1,0.0,0.0
86,19,3,0,0.36046511627906974,1.631578947368421
39,16,1,0,0.10256410256410256,0.25
71,20,2,0,0.04225352112676056,0.15
68,42,4,0,0.14705882352941177,0.23809523809523808
119,12,2,0,0.0,0.0
50,18,2,0,0.0,0.0
33,16,2,0,0.030303030303030304,0.0625
110,15,2,0,0.12727272727272726,0.9333333333333333
65,17,2,1,0.2923076923076923,1.1176470588235294
120,13,3,0,0.075,0.6923076923076923
51,11,1,0,0.0196078431372549,0.09090909090909091
66,20,2,0,0.0,0.0
48,24,2,0,0.041666666666666664,0.08333333333333333
64,13,1,0,0.03125,0.15384615384615385
98,12,2,0,0.05102040816326531,0.4166666666666667
103,18,3,0,0.06796116504854369,0.3888888888888889
39,18,2,1,0.0,0.0
58,15,1,0,0.017241379310344827,0.06666666666666667
87,14,2,0,0.3103448275862069,1.9285714285714286
131,19,2,1,0.11450381679389313,0.7894736842105263
33,14,2,1,0.15151515151515152,0.35714285714285715
13,6,1,0,0.07692307692307693,0.16666666666666666
85,18,2,0,0.09411764705882353,0.4444444444444444
45,34,1,0,0.0,0.0
80,27,2,0,0.075,0.2222222222222222
137,23,3,1,0.043795620437956206,0.2608695652173913
65,15,2,1,0.23076923076923078,1.0
49,13,1,1,0.0,0.0
96,19,3,0,0.08333333333333333,0.42105263157894735
